curve_id,tenor_years,return_rate_annual
INV_BASE_V1,0,0.045
INV_BASE_V1,1,0.045
INV_BASE_V1,2,0.045
INV_BASE_V1,3,0.045
INV_BASE_V1,4,0.045
INV_BASE_V1,5,0.045
INV_BASE_V1,6,0.05
INV_BASE_V1,7,0.05
INV_BASE_V1,8,0.05
INV_BASE_V1,9,0.05
INV_BASE_V1,10,0.05
INV_BASE_V1,11,0.055
INV_BASE_V1,12,0.055
INV_BASE_V1,13,0.055
INV_BASE_V1,14,0.055
INV_BASE_V1,15,0.055
INV_BASE_V1,16,0.055
INV_BASE_V1,17,0.055
INV_BASE_V1,18,0.055
INV_BASE_V1,19,0.055
INV_BASE_V1,20,0.055
INV_BASE_V1,21,0.058
INV_BASE_V1,22,0.058
INV_BASE_V1,23,0.058
INV_BASE_V1,24,0.058
INV_BASE_V1,25,0.058
INV_BASE_V1,26,0.058
INV_BASE_V1,27,0.058
INV_BASE_V1,28,0.058
INV_BASE_V1,29,0.058
INV_BASE_V1,30,0.058
INV_BASE_V1,31,0.06
INV_BASE_V1,32,0.06
INV_BASE_V1,33,0.06
INV_BASE_V1,34,0.06
INV_BASE_V1,35,0.06
INV_BASE_V1,36,0.06
INV_BASE_V1,37,0.06
INV_BASE_V1,38,0.06
INV_BASE_V1,39,0.06
INV_BASE_V1,40,0.06
INV_BASE_V1,41,0.06
INV_BASE_V1,42,0.06
INV_BASE_V1,43,0.06
INV_BASE_V1,44,0.06
INV_BASE_V1,45,0.06
INV_BASE_V1,46,0.06
INV_BASE_V1,47,0.06
INV_BASE_V1,48,0.06
INV_BASE_V1,49,0.06
INV_BASE_V1,50,0.06
INV_BASE_V1,51,0.06
INV_BASE_V1,52,0.06
INV_BASE_V1,53,0.06
INV_BASE_V1,54,0.06
INV_BASE_V1,55,0.06
INV_BASE_V1,56,0.06
INV_BASE_V1,57,0.06
INV_BASE_V1,58,0.06
INV_BASE_V1,59,0.06
INV_BASE_V1,60,0.06
INV_BASE_V1,61,0.06
INV_BASE_V1,62,0.06
INV_BASE_V1,63,0.06
INV_BASE_V1,64,0.06
INV_BASE_V1,65,0.06
INV_BASE_V1,66,0.06
INV_BASE_V1,67,0.06
INV_BASE_V1,68,0.06
INV_BASE_V1,69,0.06
INV_BASE_V1,70,0.06
INV_BASE_V1,71,0.06
INV_BASE_V1,72,0.06
INV_BASE_V1,73,0.06
INV_BASE_V1,74,0.06
INV_BASE_V1,75,0.06
INV_BASE_V1,76,0.06
INV_BASE_V1,77,0.06
INV_BASE_V1,78,0.06
INV_BASE_V1,79,0.06
INV_BASE_V1,80,0.06
INV_BASE_V1,81,0.06
INV_BASE_V1,82,0.06
INV_BASE_V1,83,0.06
INV_BASE_V1,84,0.06
INV_BASE_V1,85,0.06
INV_BASE_V1,86,0.06
INV_BASE_V1,87,0.06
INV_BASE_V1,88,0.06
INV_BASE_V1,89,0.06
INV_BASE_V1,90,0.06
INV_BASE_V1,91,0.06
INV_BASE_V1,92,0.06
INV_BASE_V1,93,0.06
INV_BASE_V1,94,0.06
INV_BASE_V1,95,0.06
INV_BASE_V1,96,0.06
INV_BASE_V1,97,0.06
INV_BASE_V1,98,0.06
INV_BASE_V1,99,0.06
INV_BASE_V1,100,0.06
INV_BASE_V1,101,0.06
INV_BASE_V1,102,0.06
INV_BASE_V1,103,0.06
INV_BASE_V1,104,0.06
INV_BASE_V1,105,0.06
INV_BASE_V1,106,0.06
INV_BASE_V1,107,0.06
INV_BASE_V1,108,0.06
INV_BASE_V1,109,0.06
INV_BASE_V1,110,0.06
INV_BASE_V1,111,0.06
INV_BASE_V1,112,0.06
INV_BASE_V1,113,0.06
INV_BASE_V1,114,0.06
INV_BASE_V1,115,0.06
INV_BASE_V1,116,0.06
INV_BASE_V1,117,0.06
INV_BASE_V1,118,0.06
INV_BASE_V1,119,0.06
INV_BASE_V1,120,0.06
INV_BASE_V1,121,0.06
INV_BASE_V1,122,0.06
INV_BASE_V1,123,0.06
INV_BASE_V1,124,0.06
INV_BASE_V1,125,0.06
INV_BASE_V1,126,0.06
INV_BASE_V1,127,0.06
INV_BASE_V1,128,0.06
INV_BASE_V1,129,0.06
INV_BASE_V1,130,0.06
